state,county,total_votes,percent
Delaware,Kent County,88000,95
Delaware,New Castle County,293878,95
Delaware,Sussex County,125000,95
District of Columbia,District of Columbia,45392,69
District of Columbia,Ward 2,37140,73
District of Columbia,Ward 3,47692,78
District of Columbia,Ward 4,45917,81
District of Columbia,Ward 5,44719,87
District of Columbia,Ward 6,57889,85
District of Columbia,Ward 7,37287,85
District of Columbia,Ward 8,32583,80
Florida,Alachua County,142784,99
Florida,Baker County,14059,99
Florida,Bay County,106100,88
Florida,Bradford County,13650,99
Florida,Brevard County,356128,99
Florida,Broward County,965000,95
Florida,Calhoun County,6529,99
Florida,Charlotte County,116481,99
Florida,Citrus County,96694,95
Florida,Clay County,129188,95
Florida,Collier County,210070,95
Florida,Columbia County,34000,95
Florida,DeSoto County,12645,99
Florida,Dixie County,8170,99
Florida,Duval County,491584,99
Florida,Escambia County,184979,92
Florida,Flagler County,69764,95
Florida,Franklin County,6851,99
Florida,Gadsden County,23783,99
Florida,Gilchrist County,9212,95
Florida,Glades County,4762,95
Florida,Gulf County,8170,99
Florida,Hamilton County,5832,99
Florida,Hardee County,8475,99
Florida,Hendry County,12944,99
Florida,Hernando County,109176,99
Florida,Highlands County,53000,95
Florida,Hillsborough County,709040,99
Florida,Holmes County,9072,99
Florida,Indian River County,97069,95
Florida,Jackson County,22415,99
Florida,Jefferson County,8459,99
Florida,Lafayette County,3657,99
Florida,Lake County,211314,99
Florida,Lee County,391934,99
Florida,Leon County,187122,87
Florida,Levy County,23500,95
Florida,Liberty County,3562,99
Florida,Madison County,9376,99
Florida,Manatee County,217116,95
Florida,Marion County,204577,99
Florida,Martin County,98887,99
Florida,Miami-Dade County,1205651,95
Florida,Monroe County,51535,93
Florida,Nassau County,58738,99
Florida,Okaloosa County,122360,95
Florida,Okeechobee County,14937,95
Florida,Orange County,671918,95
Florida,Osceola County,168293,99
Florida,Palm Beach County,814668,95
Florida,Pasco County,298744,99
Florida,Pinellas County,605656,93
Florida,Polk County,342615,99
Florida,Putnam County,36384,99
Florida,St. Johns County,178000,95
Florida,St. Lucie County,170879,95
Florida,Santa Rosa County,106454,95
Florida,Sarasota County,281747,95
Florida,Seminole County,276622,94
Florida,Sumter County,94298,95
Florida,Suwannee County,20452,95
Florida,Taylor County,10101,99
Florida,Union County,6247,99
Florida,Volusia County,316493,95
Florida,Wakulla County,18700,95
Florida,Walton County,40810,95
Florida,Washington County,12325,99
Georgia,Appling County,8341,99
Georgia,Atkinson County,3155,99
Georgia,Bacon County,4668,100
Georgia,Baker County,1552,99
Georgia,Baldwin County,18205,99
Georgia,Banks County,8786,99
Georgia,Barrow County,38000,99
Georgia,Bartow County,50375,99
Georgia,Ben Hill County,6559,99
Georgia,Berrien County,7731,99
Georgia,Bibb County,70623,99
Georgia,Bleckley County,5704,99
Georgia,Brantley County,7731,99
Georgia,Brooks County,7077,99
Georgia,Bryan County,21338,99
Georgia,Bulloch County,30010,99
Georgia,Burke County,10680,99
Georgia,Butts County,11786,99
Georgia,Calhoun County,2193,99
Georgia,Camden County,23671,99
Georgia,Candler County,4419,99
Georgia,Carroll County,54416,99
Georgia,Catoosa County,32659,99
Georgia,Charlton County,4563,99
Georgia,Chatham County,133215,95
Georgia,Chattahoochee County,1587,99
Georgia,Chattooga County,10041,99
Georgia,Cherokee County,144598,99
Georgia,Clarke County,51098,99
Georgia,Clay County,1432,99
Georgia,Clayton County,110961,95
Georgia,Clinch County,2860,99
Georgia,Cobb County,393314,95
Georgia,Coffee County,15142,99
Georgia,Colquitt County,16067,99
Georgia,Columbia County,80454,99
Georgia,Cook County,7034,99
Georgia,Coweta County,76557,99
Georgia,Crawford County,6089,99
Georgia,Crisp County,8041,99
Georgia,Dade County,7423,99
Georgia,Dawson County,16075,99
Georgia,Decatur County,11613,99
Georgia,DeKalb County,367359,99
Georgia,Dodge County,8064,99
Georgia,Dooly County,4098,99
Georgia,Dougherty County,35103,99
Georgia,Douglas County,68715,99
Georgia,Early County,5184,99
Georgia,Echols County,1441,99
Georgia,Effingham County,31592,99
Georgia,Elbert County,9135,99
Georgia,Emanuel County,9501,99
Georgia,Evans County,4246,99
Georgia,Fannin County,14825,99
Georgia,Fayette County,69096,99
Georgia,Floyd County,38599,95
Georgia,Forsyth County,129407,95
Georgia,Franklin County,10783,99
Georgia,Fulton County,514694,95
Georgia,Gilmer County,16450,99
Georgia,Glascock County,1566,100
Georgia,Glynn County,41926,99
Georgia,Gordon County,24011,99
Georgia,Grady County,10689,99
Georgia,Greene County,11242,99
Georgia,Gwinnett County,410481,95
Georgia,Habersham County,20407,99
Georgia,Hall County,90424,99
Georgia,Hancock County,4162,99
Georgia,Haralson County,14266,99
Georgia,Harris County,19969,99
Georgia,Hart County,12721,99
Georgia,Heard County,5394,99
Georgia,Henry County,122529,99
Georgia,Houston County,74670,99
Georgia,Irwin County,4164,99
Georgia,Jackson County,37663,99
Georgia,Jasper County,7629,99
Georgia,Jeff Davis County,5771,99
Georgia,Jefferson County,7641,99
Georgia,Jenkins County,3451,99
Georgia,Johnson County,4100,99
Georgia,Jones County,14956,99
Georgia,Lamar County,9028,99
Georgia,Lanier County,3576,99
Georgia,Laurens County,21967,95
Georgia,Lee County,16702,99
Georgia,Liberty County,21326,99
Georgia,Lincoln County,4643,99
Georgia,Long County,5617,99
Georgia,Lowndes County,45890,99
Georgia,Lumpkin County,15524,99
Georgia,McDuffie County,10451,99
Georgia,McIntosh County,6694,99
Georgia,Macon County,4662,100
Georgia,Madison County,14706,99
Georgia,Marion County,3624,99
Georgia,Meriwether County,10869,99
Georgia,Miller County,2830,99
Georgia,Mitchell County,8956,99
Georgia,Monroe County,15583,99
Georgia,Montgomery County,3962,99
Georgia,Morgan County,11689,99
Georgia,Murray County,15382,99
Georgia,Muscogee County,80216,99
Georgia,Newton County,54177,99
Georgia,Oconee County,25157,99
Georgia,Oglethorpe County,8126,99
Georgia,Paulding County,85273,99
Georgia,Peach County,12523,99
Georgia,Pickens County,17113,99
Georgia,Pierce County,9047,99
Georgia,Pike County,10715,99
Georgia,Polk County,17375,99
